Subject_ID,Time,Value
1,Baseline,70.84
2,Baseline,76.49
3,Baseline,77.33
4,Baseline,70.12
5,Baseline,68.38
6,Baseline,76.63
7,Baseline,56.43
8,Baseline,75.59
9,Baseline,65.9
10,Baseline,75.19
11,Baseline,79.75
12,Baseline,80.34
13,Baseline,74.08
14,Baseline,73.36
15,Baseline,61.96
16,Baseline,94.51
17,Baseline,84.88
18,Baseline,41.02
19,Baseline,76.95
20,Baseline,34.61
21,Baseline,79.85
22,Baseline,72.0
23,Baseline,85.43
24,Baseline,99.72
25,Baseline,56.62
1,Month_1,77.14
2,Month_1,82.72
3,Month_1,71.54
4,Month_1,78.01
5,Month_1,69.09
6,Month_1,67.26
7,Month_1,64.81
8,Month_1,67.85
9,Month_1,56.78
10,Month_1,62.73
11,Month_1,83.11
12,Month_1,77.67
13,Month_1,72.57
14,Month_1,67.69
15,Month_1,64.12
16,Month_1,93.72
17,Month_1,67.14
18,Month_1,47.21
19,Month_1,74.13
20,Month_1,34.78
21,Month_1,70.44
22,Month_1,75.1
23,Month_1,81.33
24,Month_1,90.5
25,Month_1,59.16
1,Month_2,63.11
2,Month_2,68.85
3,Month_2,62.86
4,Month_2,62.59
5,Month_2,63.2
6,Month_2,64.91
7,Month_2,57.1
8,Month_2,65.77
9,Month_2,59.12
10,Month_2,69.89
11,Month_2,85.31
12,Month_2,64.75
13,Month_2,67.02
14,Month_2,59.74
15,Month_2,57.97
16,Month_2,91.01
17,Month_2,74.28
18,Month_2,42.44
19,Month_2,73.88
20,Month_2,34.27
21,Month_2,75.31
22,Month_2,69.09
23,Month_2,86.45
24,Month_2,94.91
25,Month_2,58.1
1,Month_3,77.88
2,Month_3,81.65
3,Month_3,57.78
4,Month_3,87.52
5,Month_3,55.43
6,Month_3,70.7
7,Month_3,52.71
8,Month_3,76.36
9,Month_3,56.22
10,Month_3,66.45
11,Month_3,80.18
12,Month_3,73.02
13,Month_3,65.58
14,Month_3,61.14
15,Month_3,54.59
16,Month_3,86.68
17,Month_3,74.96
18,Month_3,36.57
19,Month_3,70.75
20,Month_3,32.75
21,Month_3,78.48
22,Month_3,65.57
23,Month_3,81.64
24,Month_3,89.32
25,Month_3,48.24
