Subject_ID,Baseline,Month_1,Month_2,Month_3
1,70.84,77.14,63.11,77.88
2,76.49,82.72,68.85,81.65
3,77.33,71.54,62.86,57.78
4,70.12,78.01,62.59,87.52
5,68.38,69.09,63.2,55.43
6,76.63,67.26,64.91,70.7
7,56.43,64.81,57.1,52.71
8,75.59,67.85,65.77,76.36
9,65.9,56.78,59.12,56.22
10,75.19,62.73,69.89,66.45
11,79.75,83.11,85.31,80.18
12,80.34,77.67,64.75,73.02
13,74.08,72.57,67.02,65.58
14,73.36,67.69,59.74,61.14
15,61.96,64.12,57.97,54.59
16,94.51,93.72,91.01,86.68
17,84.88,67.14,74.28,74.96
18,41.02,47.21,42.44,36.57
19,76.95,74.13,73.88,70.75
20,34.61,34.78,34.27,32.75
21,79.85,70.44,75.31,78.48
22,72.0,75.1,69.09,65.57
23,85.43,81.33,86.45,81.64
24,99.72,90.5,94.91,89.32
25,56.62,59.16,58.1,48.24
